Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision, and the Road Ahead","Integrating Large Language Models into Multi-Agent Systems enables autonomous problem-solving, improves robustness, and provides scalable solutions for managing complex software projects.","Junda He, Christoph Treude, David Lo",2024,144,"Integrating Large Language Models (LLMs) into autonomous agents marks a significant shift in the research landscape by offering cognitive abilities that are competitive with human planning and reasoning. This article explores the transformative potential of integrating Large Language Models into Multi-Agent (LMA) systems for addressing complex challenges in software engineering (SE). By leveraging the collaborative and specialized abilities of multiple agents, LMA systems enable autonomous problem-solving, improve robustness, and provide scalable solutions for managing the complexity of real-world software projects. In this article, we conduct a systematic review of recent primary studies to map the current landscape of LMA applications across various stages of the software development lifecycle (SDLC). To illustrate current capabilities and limitations, we perform two case studies to demonstrate the effectiveness of state-of-the-art LMA frameworks. Additionally, we identify critical research gaps and propose a comprehensive research agenda focused on enhancing individual agent capabilities and optimizing agent synergy. Our work outlines a forward-looking vision for developing fully autonomous, scalable, and trustworthy LMA systems, laying the foundation for the evolution of Software Engineering 2.0.","systematic review","ACM Transactions on Software Engineering and Methodology","1","10.1145/3712003","https://consensus.app/papers/llmbased-multiagent-systems-for-software-engineering-he-treude/797515474cd8578d87cee4eb3231428a/"
"Large Language Model-Based Agents for Software Engineering: A Survey","Large Language Model-based agents show remarkable effectiveness in Software Engineering, extending the versatility and expertise of LLMs by incorporating external resources and tools.","Junwei Liu, Kaixin Wang, Yixuan Chen, Xin Peng, Zhenpeng Chen, Lingming Zhang, Yiling Lou",2024,151,"The recent advance in Large Language Models (LLMs) has shaped a new paradigm of AI agents, i.e., LLM-based agents. Compared to standalone LLMs, LLM-based agents substantially extend the versatility and expertise of LLMs by enhancing LLMs with the capabilities of perceiving and utilizing external resources and tools. To date, LLM-based agents have been applied and shown remarkable effectiveness in Software Engineering (SE). The synergy between multiple agents and human interaction brings further promise in tackling complex real-world SE problems. In this work, we present a comprehensive and systematic survey on LLM-based agents for SE. We collect 124 papers and categorize them from two perspectives, i.e., the SE and agent perspectives. In addition, we discuss open challenges and future directions in this critical domain. The repository of this survey is at https://github.com/FudanSELab/Agent4SE-Paper-List.","literature review","ACM Transactions on Software Engineering and Methodology","1","10.48550/arxiv.2409.02977","https://consensus.app/papers/large-language-modelbased-agents-for-software-liu-wang/3fbdb20e973e517ea06d082a67a7e4cf/"
"MetaGPT: Meta Programming for Multi-Agent Collaborative Framework","MetaGPT enhances LLM-based multi-agent collaboration by incorporating efficient human workflows and domain expertise, resulting in more coherent and correct solutions compared to existing chat-based systems.","Sirui Hong, Xiawu Zheng, Jonathan P. Chen, Yuheng Cheng, Ceyao Zhang, Zili Wang, Steven Ka Shing Yau, Z. Lin, Liyang Zhou, Chenyu Ran, Lingfeng Xiao, Chenglin Wu",2023,1475,"Recently, remarkable progress has been made in automated task-solving through the use of multi-agent driven by large language models (LLMs). However, existing LLM-based multi-agent works primarily focus on solving simple dialogue tasks, and complex tasks are rarely studied, mainly due to the LLM hallucination problem. This type of hallucination becomes cascading when naively chaining multiple intelligent agents, resulting in a failure to effectively address complex problems. Therefore, we introduce MetaGPT, an innovative framework that incorporates efficient human workflows as a meta programming approach into LLM-based multi-agent collaboration. Specifically, MetaGPT encodes Standardized Operating Procedures (SOPs) into prompts to enhance structured coordination. Subsequently, it mandates modular outputs, empowering agents with domain expertise comparable to human professionals, to validate outputs and minimize compounded errors. In this way, MetaGPT leverages the assembly line paradigm to assign diverse roles to various agents, thereby establishing a framework that can effectively and cohesively deconstruct complex multi-agent collaborative problems. Our experiments on collaborative software engineering benchmarks demonstrate that MetaGPT generates more coherent and correct solutions compared to existing chat-based multi-agent systems. This highlights the potential of integrating human domain knowledge into multi-agent systems, thereby creating new opportunities to tackle complex real-world challenges. The GitHub repository of this project is publicly available on:https://github.com/geekan/MetaGPT.","","ArXiv","","10.48550/arxiv.2308.00352","https://consensus.app/papers/metagpt-meta-programming-for-multiagent-collaborative-hong-zheng/438146366118587eb033ac13d59d8b30/"
"MASAI: Modular Architecture for Software-engineering AI Agents","The Modular Architecture for Software-engineering AI (MASAI) agents, using LLM-powered sub-agents, achieves high performance on complex software engineering problems, outperforming other agentic methods.","Daman Arora, Atharv Sonwane, Nalin Wadhwa, Abhav Mehrotra, Saiteja Utpala, Ramakrishna Bairi, Aditya Kanade, Nagarajan Natarajan",2024,47,"A common method to solve complex problems in software engineering, is to divide the problem into multiple sub-problems. Inspired by this, we propose a Modular Architecture for Software-engineering AI (MASAI) agents, where different LLM-powered sub-agents are instantiated with well-defined objectives and strategies tuned to achieve those objectives. Our modular architecture offers several advantages: (1) employing and tuning different problem-solving strategies across sub-agents, (2) enabling sub-agents to gather information from different sources scattered throughout a repository, and (3) avoiding unnecessarily long trajectories which inflate costs and add extraneous context. MASAI enabled us to achieve the highest performance (28.33% resolution rate) on the popular and highly challenging SWE-bench Lite dataset consisting of 300 GitHub issues from 11 Python repositories. We conduct a comprehensive evaluation of MASAI relative to other agentic methods and analyze the effects of our design decisions and their contribution to the success of MASAI.","","ArXiv","","10.48550/arxiv.2406.11638","https://consensus.app/papers/masai-modular-architecture-for-softwareengineering-ai-arora-sonwane/337441251d5d58a785a8f867693b8719/"
"HyperAgent: Generalist Software Engineering Agents to Solve Coding Tasks at Scale","HyperAgent, a multi-agent system, effectively tackles diverse software engineering tasks across different programming languages, setting new benchmarks in various areas.","H. N. Phan, Phong X. Nguyen, Nghi D. Q. Bui",2024,34,"Large Language Models (LLMs) have revolutionized software engineering (SE), showcasing remarkable proficiency in various coding tasks. Despite recent advancements that have enabled the creation of autonomous software agents utilizing LLMs for end-to-end development tasks, these systems are typically designed for specific SE functions. We introduce HyperAgent, an innovative generalist multi-agent system designed to tackle a wide range of SE tasks across different programming languages by mimicking the workflows of human developers. HyperAgent features four specialized agents-Planner, Navigator, Code Editor, and Executor-capable of handling the entire lifecycle of SE tasks, from initial planning to final verification. HyperAgent sets new benchmarks in diverse SE tasks, including GitHub issue resolution on the renowned SWE-Bench benchmark, outperforming robust baselines. Furthermore, HyperAgent demonstrates exceptional performance in repository-level code generation (RepoExec) and fault localization and program repair (Defects4J), often surpassing state-of-the-art baselines.","","ArXiv","","10.48550/arxiv.2409.16299","https://consensus.app/papers/hyperagent-generalist-software-engineering-agents-to-phan-nguyen/1be9951746be5d498c12097c0aa3763e/"
"Agents in software engineering: survey, landscape, and vision","This paper surveys studies on combining Large Language Models (LLMs) with software engineering, presents a framework for LLM-based agents in SE, and proposes future opportunities to address challenges.","Yanlin Wang, Wanjun Zhong, Yanxian Huang, Ensheng Shi, Min Yang, Jiachi Chen, Hui Li, Yuchi Ma, Qianxiang Wang, Zibin Zheng",2024,55,"In recent years, Large Language Models (LLMs) have achieved remarkable success and have been widely used in various downstream tasks, especially in the tasks of the software engineering (SE) field. We find that many studies combining LLMs with SE have employed the concept of agents either explicitly or implicitly. However, there is a lack of an in-depth survey to sort out the development context of existing works, analyze how existing works combine the LLM-based agent technologies to optimize various tasks, and clarify the framework of LLM-based agents in SE. In this paper, we conduct the first survey of the studies on combining LLM-based agents with SE and present a framework of LLM-based agents in SE which includes three key modules: perception, memory, and action. We also summarize the current challenges in combining the two fields and propose future opportunities in response to existing challenges. We maintain a GitHub repository of the related papers at: https://github.com/DeepSoftwareAnalytics/Awesome-Agent4SE.","literature review","Automated Software Engineering","2","10.1007/s10515-025-00544-2","https://consensus.app/papers/agents-in-software-engineering-survey-landscape-and-wang-zhong/e1b018a4ba975861ab05a8ce815d35aa/"
"Large Language Model based Multi-Agents: A Survey of Progress and Challenges","Large Language Model-based multi-agent systems have advanced in complex problem-solving and world simulation, but face challenges in profiling, communication, and skill development.","Taicheng Guo, Xiuying Chen, Yaqi Wang, Ruidi Chang, Shichao Pei, N. Chawla, Olaf Wiest, Xiangliang Zhang",2024,761,"Large Language Models (LLMs) have achieved remarkable success across a wide array of tasks. Due to their notable capabilities in planning and reasoning, LLMs have been utilized as autonomous agents for the automatic execution of various tasks. Recently, LLM-based agent systems have rapidly evolved from single-agent planning or decision-making to operating as multi-agent systems, enhancing their ability in complex problem-solving and world simulation. To offer an overview of this dynamic field, we present this survey to offer an in-depth discussion on the essential aspects and challenges of LLM-based multi-agent (LLM-MA) systems. Our objective is to provide readers with an in-depth understanding of these key points: the domains and settings where LLM-MA systems operate or simulate; the profiling and communication methods of these agents; and the means by which these agents develop their skills. For those interested in delving into this field, we also summarize the commonly used datasets or benchmarks. To keep researchers updated on the latest studies, we maintain an open-source GitHub repository (github.com/taichengguo/LLM_MultiAgents_Survey_Papers), dedicated to outlining the research of LLM-MA research.","","","","10.48550/arxiv.2402.01680","https://consensus.app/papers/large-language-model-based-multiagents-a-survey-of-guo-chen/2aee6910ec3455fe8fcd0a6b0392f01e/"
"AgentCoder: Multi-Agent-based Code Generation with Iterative Testing and Optimisation","Multiagent-Code Generation (AgentCoder) improves code generation efficiency by balancing code snippet generation with effective test case generation and execution, outperforming existing models and techniques.","Dong Huang, Qingwen Bu, Jie M. Zhang, Michael Luck, Heming Cui",2023,312,"Advances in natural language processing (NLP) have been significantly boosted by the development of transformer-based large language models (LLMs). These models have revolutionized NLP tasks, particularly in code generation, aiding developers in creating software with enhanced efficiency. Despite their advances, challenges remain in balancing code snippet generation with effective test case generation and execution. To address these issues, this paper introduces Multiagent-Code Generation (AgentCoder), a novel solution comprising a multi-agent framework with specialized agents: the programmer agent, the test designer agent, and the test executor agent. During the coding procedure, the programmer agent focuses on the code generation and refinement based on the test executor agent’s feedback. The test designer agent generates test cases for the generated code, and the test executor agent runs the code with the test cases and writes feedback to the programmer. This collaborative system ensures more effective code generation, surpassing the limitations of single-agent models and previous strategies. Our extensive experiments on 12 LLMs and 13 optimisation approaches showcase AgentCoder’s superior performance over existing code generation models and prompt engineering techniques across various benchmarks. For example, AgentCoder achieves 77.4% and 89.1% pass@1 in HumanEval-ET and MBPP-ET with GPT-3.5, while state-of-the-art obtains only 69.5% and 63.0%.","","ArXiv","","10.48550/arxiv.2312.13010","https://consensus.app/papers/agentcoder-multiagentbased-code-generation-with-huang-bu/2c5b0ab8b7465224a3d62a2ffc132ade/"
"CodeAgent: Collaborative Agents for Software Engineering","CodeAgent is a multi-agent-based system for code review, enhancing collaboration interactions and ensuring software quality and reliability.","Daniel Tang, Zhenghan Chen, Kisub Kim, Yewei Song, Haoye Tian, Saad Ezzini, Yongfeng Huang, Jacques Klein, Tégawendé F. Bissyandé",2024,8,"Code review is a heavily collaborative process, which aims at ensuring the over-all quality and reliability of software. While it provides massive benefits, the implementation of code review in an organization faces several challenges that make its automation appealing. Automated code review tools have been around for a while and are now improving thanks to the adoption of novel AI models, which help can learn about standard practices and systematically check that the reviewed code adheres to them. Unfortunately, existing methods fall short: they often target a single input-output generative model, which cannot simulate the collaboration interactions in code review to account for various perspectives; they are also sub-performing on various critical code review sub-tasks. In this paper, we advance the state of the art in code review automation by introducing CodeAgent , a novel multi-agent-based system for code review. Funda-mentally, CodeAgent is steered by QA-Checker (short for “Question-Answer Checking""), a supervision agent, designed specifically to ensure that all agents’ contributions remain relevant to the initial review question. CodeAgent is autonomous, multi-agent, and Large language model-driven. To demonstrate the effectiveness of CodeAgent , we performed experiments to assess its capabilities in various tasks including 1) detection of inconsistencies between code changes and commit messages, 2) detection of vulnerability introduction by commits, and 3) validation of adherence to code style. Our website is accessed in https://code-agent-new.vercel.app/index.html .","","ArXiv","","10.48550/arxiv.2402.02172","https://consensus.app/papers/codeagent-collaborative-agents-for-software-engineering-tang-chen/78830b1c360a57c19334528065f9c6db/"
"AgentMesh: A Cooperative Multi-Agent Generative AI Framework for Software Development Automation","","Sourena Khanzadeh",2025,4,"Software development is a complex, multi-phase process traditionally requiring collaboration among individuals with diverse expertise. We propose AgentMesh, a Python-based framework that uses multiple cooperating LLM-powered agents to automate software development tasks. In AgentMesh, specialized agents - a Planner, Coder, Debugger, and Reviewer - work in concert to transform a high-level requirement into fully realized code. The Planner agent first decomposes user requests into concrete subtasks; the Coder agent implements each subtask in code; the Debugger agent tests and fixes the code; and the Reviewer agent validates the final output for correctness and quality. We describe the architecture and design of these agents and their communication, and provide implementation details including prompt strategies and workflow orchestration. A case study illustrates AgentMesh handling a non-trivial development request via sequential task planning, code generation, iterative debugging, and final code review. We discuss how dividing responsibilities among cooperative agents leverages the strengths of large language models while mitigating single-agent limitations. Finally, we examine current limitations - such as error propagation and context scaling - and outline future work toward more robust, scalable multi-agent AI systems for software engineering automation.","","ArXiv","","10.48550/arxiv.2507.19902","https://consensus.app/papers/agentmesh-a-cooperative-multiagent-generative-ai-khanzadeh/12dede864f08513a811c2514eba55815/"
"LLM Multi-Agent Systems: Challenges and Open Problems","Multi-agent systems can tackle complex tasks through agent collaboration, but challenges in optimizing task allocation, robust reasoning, managing context information, and enhancing memory management remain.","Shanshan Han, Qifan Zhang, Yuhang Yao, Weizhao Jin, Zhaozhuo Xu, Chaoyang He",2024,124,"This paper explores multi-agent systems and identify challenges that remain inadequately addressed. By leveraging the diverse capabilities and roles of individual agents, multi-agent systems can tackle complex tasks through agent collaboration. We discuss optimizing task allocation, fostering robust reasoning through iterative debates, managing complex and layered context information, and enhancing memory management to support the intricate interactions within multi-agent systems. We also explore potential applications of multi-agent systems in blockchain systems to shed light on their future development and application in real-world distributed systems.","","ArXiv","","10.48550/arxiv.2402.03578","https://consensus.app/papers/llm-multiagent-systems-challenges-and-open-problems-han-zhang/11595386be7351c0a6bd198c3736c39e/"
"Agent-based software engineering","This paper explores the challenges of specifying, refining, and verifying multi-agent systems in software engineering, highlighting open research issues for future research.","M. Wooldridge",1997,1863,"The technology of intelligent agents and multi-agent systems is expected to alter radically the way in which complex, distributed, open systems are conceptualised and implemented. The paper considers the problem of building a multi-agent system as a software engineering enterprise. Three issues are focused on: how agents might be specified; how these specifications might be refined or otherwise transformed into efficient implementations: and how implemented agents and multi-agent systems might subsequently be verified, to show that they are correct with respect to their specifications. These issues are discussed with reference to a number of case studies. The paper concludes by setting out some issues and open problems for future research.","","IEE Proc. Softw. Eng.","","10.1049/ip-sen:19971026","https://consensus.app/papers/agentbased-software-engineering-wooldridge/48e005b249475d40abfe87860666ad46/"
"Agent-Oriented Software Engineering: The State of the Art","Intelligent agents and multi-agent systems are effective tools for managing complexity in software systems, with prototype techniques for analysis, design, and implementation.","M. Wooldridge, P. Ciancarini",2009,528,"Software engineers continually strive to develop tools and techniques to manage the complexity that is inherent in software systems. In this article, we argue that intelligent agents and multi-agent systems are just such tools. We begin by reviewing what is meant by the term ""agent"", and contrast agents with objects.We then go on to examine a number of prototype techniques proposed for engineering agent systems, including methodologies for agent-oriented analysis and design, formal specification and verification methods for agent systems, and techniques for implementing agent specifications.","","","","10.1007/3-540-44564-1_1","https://consensus.app/papers/agentoriented-software-engineering-the-state-of-the-art-wooldridge-ciancarini/8cc45bc250b85ca0a514380db06e7e95/"
"Agent-Oriented Software Engineering","Agent-oriented software engineering aims to engineer complex, distributed systems using autonomous agents, but fundamental questions about their nature and use remain unanswered.","N. Jennings",1999,443,"Increasingly many computer systems are being viewed in terms of autonomous agents. Agents are being espoused as a new theoretical model of computation that more closely reflects current computing reality than Turing Machines. Agents are being advocated as the next generation model for engineering complex, distributed systems. Agents are also being used as an overarching framework for bringing together the component AI sub-disciplines that are necessary to design and build intelligent entities. Despite this intense interest, however, a number of fundamental questions about the nature and the use of agents remain unanswered. In particular:","","","","10.1007/3-540-48437-x_1","https://consensus.app/papers/agentoriented-software-engineering-jennings/33a4d75e07a8527e8b5649d3c9badab1/"
"On agent-based software engineering","Agent-based software engineering offers powerful capabilities for solving complex real-world problems, with autonomous agents able to complete objectives in dynamic environments and engage in rich social interactions.","N. Jennings",2000,903,"","","Artif. Intell.","1","10.1016/s0004-3702(99)00107-1","https://consensus.app/papers/on-agentbased-software-engineering-jennings/ff59067dc9e552a9b5c35a56add5edb0/"
"Multiagent Systems Engineering","The Multiagent Systems Engineering (MaSE) methodology effectively develops heterogeneous multiagent systems by using graphically based models to describe system goals, behaviors, agent types, and communication interfaces.","S. DeLoach, M. F. Wood, Clint H. Sparkman",2001,539,"This paper describes the Multiagent Systems Engineering (MaSE) methodology. MaSE is a general purpose, methodology for developing heterogeneous multiagent systems. MaSE uses a number of graphically based models to describe system goals, behaviors, agent types, and agent communication interfaces. MaSE also provides a way to specify architecture-independent detailed definition of the internal agent design. An example of applying the MaSE methodology is also presented.","","Int. J. Softw. Eng. Knowl. Eng.","3","10.1142/s0218194001000542","https://consensus.app/papers/multiagent-systems-engineering-deloach-wood/8ca1b483cc59574795a73a75868eece2/"
"Agent Oriented Software Engineering with INGENIAS","INGENIAS is a methodology and set of tools for developing multi-agent systems, considering organization, agent, tasks/goals, interactions, and environment.","J. Pavón, J. Gómez-Sanz",2003,330,"INGENIAS is both a methodology and a set of tools for development of multi-agent systems (MAS). As a methodology, it tries to integrate results from other proposals and considers the MAS from five complementary viewpoints: organization, agent, tasks/goals, interactions, and environment. It is supported by a set of tools for modelling (graphical editor), documentation and code generation (for different agent platforms). INGENIAS is the result of the experience developing MAS in different areas, such as workflow management systems, recommender systems, Robocode teams, and PC assistants","","","","10.1007/3-540-45023-8_38","https://consensus.app/papers/agent-oriented-software-engineering-with-ingenias-pavn-gmez-sanz/aaa6ca12d56f579fa7374cb2162e3e02/"
"Agent-Oriented Software Engineering for Internet Applications","Agent-oriented software engineering, focusing on coordination models and technologies, can significantly impact the development of complex Internet-based software systems.","F. Zambonelli, N. Jennings, Andrea Omicini, M. Wooldridge",2001,176,"The metaphors of autonomous agents and agent societies have the potential to make a signifiant impact in the processes of analysis, design and development of complex software systems on the Internet. In this chapter, we concentrate predominantly on agent societies, and show how work on coordination models and technologies provides a powerful framework for the engineering of Internet-based, multi-agent systems. First, we introduce the concepts of agent, multi-agent system, and agent-oriented software engineering, and highlight the specific issues that arise when we take the Internet as the environment that agents inhibit. We then provide a brief survey of the state of the art in the area of agent-oriented methodologies, paying particular attention to the Gaia methodology for agent-oriented analysis and design. Gaia was originally concieved for benevolent agents inhabiting closed systems. However, to broaden its scope, we show how insights from the area of coordination models can be incorporated in order to make it more suitable for developing Internet-based applications.","","","","10.1007/978-3-662-04401-8_13","https://consensus.app/papers/agentoriented-software-engineering-for-internet-zambonelli-jennings/2b69ae03cc75554ca4d884bb36de0ac2/"
