Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Model-driven engineering of multi-agent systems based on ontologies","Combining model-driven engineering and ontologies can significantly improve the development of multi-agent systems.","Artur Freitas, Rafael Heitor Bordini, R. Vieira",2017,20,"Model-driven engineering provides abstractions and notations to improve the understanding and to support modeling, coding, and verification of applications for specific domains. Ontologies, on the other hand, provide formal and explicit definitions of shared conceptualizations and enable the use of semantic reasoning. Although these areas have been developed by different communities, significant synergy can be achieved when both are combined. These advantages can be explored in the development of multi-agent systems, given their complexity and the need for integrating several components that are often addressed from different angles. This work investigates how to apply ontologies for agent-oriented software engineering. Initially, we present a new modeling approach where multi-agent systems are designed by instantiating our proposed ontology. An additional contribution is a tool that uses instantiated ontological designs to generate programming code for such systems. Several advantages can be obtained from the application of our ontology-based approach, in terms of specification, development, and verification of agent-oriented software, as indicated by the experiments we have carried out.","","Applied Ontology","1","10.3233/ao-170182","https://consensus.app/papers/modeldriven-engineering-of-multiagent-systems-based-on-freitas-bordini/1f57d7e59fc956839072c0279c1ff2b5/"
"Methods and Techniques of Agentic Software Engineering: A Systematic Literature Review","Agentic software engineering, using large language models and AI, shows potential in improving software development productivity, code quality, and process automation, while addressing challenges like coordination and ethical issues.","Nesreen A. Otoum, Nuha Elkhalili",2026,0,"The development of agentic software engineering (ASE) is shifting the software development process, specifically by adopting autonomous agents into the fundamental software development process, where autonomous agents using large language models (LLMs) and artificial intelligence (AI) make decisions, write code, and collaborate across the entire software development lifecycle. The systematic review is a summary of literature on the agentic software engineering methodologies, frameworks, and techniques published in 2022-2025. We identify and compare methods based on autonomous coding, multi-agent systems, iterative refinement, and human-agent collaboration, drawing on 61 high-quality studies. We find that LLM-based agents show substantial potential in automated software engineering and that recent work is exploring new trends in agent cooperation, reasoning systems, and tool integration. We recognize such key challenges as the coordination procedures, reliability, explainability, and the ethical issues. This review characterizes the emerging role of agentic software engineering in improving the productivity of developers, the quality of their code, and the automation of their processes, and it offers a structured roadmap for future research. With the rapid evolution of the field, agentic approaches will tend to transform the conception, creation, and maintenance of software and provide more autonomous, adaptive, and intelligent systems.","","IEEE Access","1","10.1109/access.2026.3652325","https://consensus.app/papers/details/7bc228f9a0475ccda9b53c46e9d56594/"
"An Overview of the Multiagent Systems Engineering Methodology","The Multiagent Systems Engineering Methodology aims to design complex distributed software by coordinating local behavior of individual agents in heterogeneous environments.","M. F. Wood, S. DeLoach",2001,372,"To solve complex problems, agents work cooperatively with other agents in heterogeneous environments. We are interested in coordinating the local behavior of individual agents to provide an appropriate system-level behavior. The use of intelligent agents provides an even greater amount of flexibility to the ability and configuration of the system itself. With these new intricacies, software development is becoming increasingly difficult. Therefore, it is critical that our processes for building the inherently complex distributed software that must run in this environment be adequate for the task. This paper introduces a methodology for designing these systems of interacting agents.","","","","10.1007/3-540-44564-1_14","https://consensus.app/papers/an-overview-of-the-multiagent-systems-engineering-wood-deloach/f7df3cb605dc575bb047b6b5035bdecb/"
"Multi-Agent Systems: A Survey About Its Components, Framework and Workflow","The FC-MAS model simplifies and standardizes multi-agent systems implementation in engineering applications, incorporating five abstract layers and a structured workflow for centralized and distributed schemes.","D. Maldonado, E. Cruz, Jackeline Abad Torres, P. Cruz, Silvana del Pilar Gamboa Benitez",2024,43,"With the rapid technological advancements and the ever-evolving complex systems, the identification and integration of the components and resources for the functioning of multi-agent systems (MAS) are crucial tasks. However, difficulties arise due to the complexity of not having reference frameworks that normalize their implementation. Therefore, in this survey, we propose the FC-MAS (Framework-Components in Multi-Agent System) model as a conceptual framework designed to simplify comprehension and standardization in incorporating the required functions and components for the deployment and operation of MAS in engineering applications. This model comprises five abstract layers, each of which serves a specific purpose and encompasses the details and resources required to operate MAS. Furthermore, we propose a structured workflow for centralized and distributed MAS schemes with a set of related activities that integrate the fundamental steps and stages for the successful implementation of MAS. Finally, this work discusses potential directions for future research, including a deeper exploration of essential components, the establishment of terminology standards across various domains, and the refinement of the proposed model to enhance its applicability and relevance across a broader spectrum of contexts.","","IEEE Access","1","10.1109/access.2024.3409051","https://consensus.app/papers/multiagent-systems-a-survey-about-its-components-maldonado-cruz/d6054e9ef1a05b1482aada1a971dc090/"
"Multi-Agent Systems","FIRE, an integrated trust and reputation model, effectively assesses an agent's performance in open multi-agent systems, helping them gain better utility and adapt to changes in their environment.","Vicente Julián, V. Botti",2018,363,"With the current advance of technology, agent-based applications are becoming a standard in a great variety of domains such as e-commerce, logistics, supply chain management, telecommunications, healthcare, and manufacturing. Another reason for the widespread interest in multi-agent systems is that these systems are seen as a technology and a tool that helps in the analysis and development of new models and theories in large-scale distributed systems or in human-centered systems. This last aspect is currently of great interest due to the need for democratization in the use of technology that allows people without technical preparation to interact with the devices in a simple and coherent way. In this Special Issue, different interesting approaches that advance this research discipline have been selected and presented.","","Advanced Artificial Intelligence","","10.1007/978-3-030-14174-5","https://consensus.app/papers/multiagent-systems-julin-botti/582807df7e3455b58d946c92a88278a7/"
"Software agents","Agent-based software engineering enables interoperable software by writing application programs as software agents that communicate with peers using an expressive agent communication language.","M. Genesereth, Steven P. Ketchpel",1994,2742,"The software world is one of great richness and diversity. Many thousands of software products are available to users today, providing a wide variety of information and services in a wide variety of domains. While most of these programs provide their users with significant value when used in isolation, there is increasing demand for programs that can interoperate – to exchange information and services with other programs and thereby solve problems that cannot be solved alone. Part of what makes interoperation difficult is heterogeneity. Programs are written by different people, at different times, in different languages; and, as a result, they often provide different interfaces. The difficulties created by heterogeneity are exacerbated by dynamics in the software environment. Programs are frequently rewritten; new programs are added; old programs removed. Agent-based software engineering was invented to facilitate the creation of software able to interoperate in such settings. In this approach to software development, application programs are written as software agents, i.e. software “components” that communicate with their peers by exchanging messages in an expressive agent communication language. Agents can be as simple as subroutines; but typically they are larger entities with some sort of persistent control (e.g. distinct control threads within a single address space, distinct processes on a single machine, or separate processes on different machines). The salient feature of the language used by agents is its expressiveness. It allows for the exchange of data and logical information, individual commands and scripts (i.e. programs). Using this language, agents can communicate complex information and goals, directly or indirectly “programming” each other in useful ways. Agent-based software engineering is often compared to object-oriented programming. Like an “object”, an agent provides a message-based interface independent of its internal data structures and algorithms. The primary difference between the two approaches lies in the language of the interface. In general object-oriented programming, the meaning of a message can vary from one object to another. In agent-based software engineering, agents use a common language with an agent-independent semantics. The concept of agent-based software engineering raises a number of important questions.","","Commun. ACM","","10.1145/176789.176794","https://consensus.app/papers/software-agents-genesereth-ketchpel/f1a2eb356dd35cecb9ddf49dfb89cadb/"
"LLM-Based Agentic Systems for Software Engineering: Challenges and Opportunities","LLM-based multi-agent systems show promise in software engineering, but face challenges in multi-agent coordination, computational cost optimization, and effective data collection.","Yongjian Tang, Thomas Runkler",2026,0,"Despite recent advancements in Large Language Models (LLMs), complex Software Engineering (SE) tasks require more collaborative and specialized approaches. This concept paper systematically reviews the emerging paradigm of LLM-based multi-agent systems, examining their applications across the Software Development Life Cycle (SDLC), from requirements engineering and code generation to static code checking, testing, and debugging. We delve into a wide range of topics such as language model selection, SE evaluation benchmarks, state-of-the-art agentic frameworks and communication protocols. Furthermore, we identify key challenges and outline future research opportunities, with a focus on multi-agent orchestration, human-agent coordination, computational cost optimization, and effective data collection. This work aims to provide researchers and practitioners with valuable insights into the current forefront landscape of agentic systems within the software engineering domain.","","ArXiv","","10.48550/arxiv.2601.09822","https://consensus.app/papers/llmbased-agentic-systems-for-software-engineering-tang-runkler/498d837b682d59338def94b55f9f0c5b/"
"Multiagent Systems","This book provides a comprehensive introduction to multiagent systems, covering theory and practice, and serves as a valuable resource for students and researchers in the field.","Gerhard Weiss",2009,1407,"Multiagent systems are made up of multiple interacting intelligent agents -- computational entities to some degree autonomous and able to cooperate, compete, communicate, act flexibly, and exercise control over their behavior within the frame of their objectives. They are the enabling technology for a wide range of advanced applications relying on distributed and parallel processing of data, information, and knowledge relevant in domains ranging from industrial manufacturing to e-commerce to health care. This book offers a state-of-the-art introduction to multiagent systems, covering the field in both breadth and depth, and treating both theory and practice. It is suitable for classroom use or independent study. This second edition has been completely revised, capturing the tremendous developments in multiagent systems since the first edition appeared in 1999. Sixteen of the book's seventeen chapters were written for this edition; all chapters are by leaders in the field, with each author contributing to the broad base of knowledge and experience on which the book rests. The book covers basic concepts of computational agency from the perspective of both individual agents and agent organizations; communication among agents; coordination among agents; distributed cognition; development and engineering of multiagent systems; and background knowledge in logics and game theory. Each chapter includes references, many illustrations and examples, and exercises of varying degrees of difficulty. The chapters and the overall book are designed to be self-contained and understandable without additional material. Supplemental resources are available on the book's Web site. Contributors:Rafael Bordini, Felix Brandt, Amit Chopra, Vincent Conitzer, Virginia Dignum, Jurgen Dix, Ed Durfee, Edith Elkind, Ulle Endriss, Alessandro Farinelli, Shaheen Fatima, Michael Fisher, Nicholas R. Jennings, Kevin Leyton-Brown, Evangelos Markakis, Lin Padgham, Julian Padget, Iyad Rahwan, Talal Rahwan, Alex Rogers, Jordi Sabater-Mir, Yoav Shoham, Munindar P. Singh, Kagan Tumer, Karl Tuyls, Wiebe van der Hoek, Laurent Vercouter, Meritxell Vinyals, Michael Winikoff, Michael Wooldridge, Shlomo Zilberstein","","","","10.5772/3469","https://consensus.app/papers/multiagent-systems-weiss/568954d7b8075282b87aaa4b19aa180a/"
"30 Years of Engineering Multi-Agent Systems: What and Why?","Engineering Multi-Agent Systems (EMAS) research has been around for 30 years, providing software engineers with the tools and knowledge to effectively develop multi-agent systems.","Michael Winikoff",2024,0,"Research on Engineering Multi-Agent Systems (EMAS) aims to provide software engineers with what they need to be able to effectively develop multi-agent systems. The field is broad, covering foundational concepts, notations, processes, techniques, tools, and languages. Although it is difficult to pin down a precise year, it can be argued that the community is now 30 years old [1]. This talk will review where the field is, and outline some challenges and future directions. In addition to answering the question ""What is EMAS?"" the talk aims to raise the profile of the field and the community, answering the question ""Why should I care?"".","","","","10.5555/3635637.3662844","https://consensus.app/papers/30-years-of-engineering-multiagent-systems-what-and-why-winikoff/cfd3c2696e20504385012b8868f1205e/"
"Multi-Agent Programming: Languages, Tools and Applications","This paper presents a comprehensive overview of multi-agent programming languages, platforms, development tools, and realistic applications, making it accessible for professionals and students at all levels.","Rafael Heitor Bordini, M. Dastani, J. Dix, A. E. Seghrouchni",2009,426,"Multi-Agent Systems are a promising technology to develop the next generation open distributed complex software systems. The main focus of the research community has been on the development of concepts (concerning both mental and social attitudes), architectures, techniques, and general approaches to the analysis and specification of multi-agent systems. This contribution has been fragmented, without any clear way of 'putting it all together', rendering it inaccessible to students and young researchers, non-experts, and practitioners. Successful multi-agent systems development is guaranteed only if we can bridge the gap from analysis and design to effective implementation. ""Multi-Agent Programming: Languages, Tools and Applications"" presents a number of mature and influential multi-agent programming languages, platforms, development tools and methodologies, and realistic applications, summarizing the state of the art in an accessible manner for professionals and computer science students at all levels.","","","","10.1007/b137449","https://consensus.app/papers/multiagent-programming-languages-tools-and-applications-bordini-dastani/4471e608446057ceb655c43e60d546ea/"
"Aime: Towards Fully-Autonomous Multi-Agent Framework","Aime, a novel multi-agent framework, improves adaptability and robustness in dynamic environments by implementing dynamic planning and execution, enhancing multi-agent collaboration.","Yexuan Shi, Mingyue Wang, Yunxiang Cao, Hongjie Lai, Jun Lan, Xin Han, Yu Wang, J. Geng, Zhenan Li, Zihao Xia, Xiang Chen, Chen Li, Jian Xu, Wenbo Duan, Yuanshuo Zhu",2025,4,"Multi-Agent Systems (MAS) powered by Large Language Models (LLMs) are emerging as a powerful paradigm for solving complex, multifaceted problems. However, the potential of these systems is often constrained by the prevalent plan-and-execute framework, which suffers from critical limitations: rigid plan execution, static agent capabilities, and inefficient communication. These weaknesses hinder their adaptability and robustness in dynamic environments. This paper introduces Aime, a novel multi-agent framework designed to overcome these challenges through dynamic, reactive planning and execution. Aime replaces the conventional static workflow with a fluid and adaptive architecture. Its core innovations include: (1) a Dynamic Planner that continuously refines the overall strategy based on real-time execution feedback; (2) an Actor Factory that implements Dynamic Actor instantiation, assembling specialized agents on-demand with tailored tools and knowledge; and (3) a centralized Progress Management Module that serves as a single source of truth for coherent, system-wide state awareness. We empirically evaluated Aime on a diverse suite of benchmarks spanning general reasoning (GAIA), software engineering (SWE-bench Verified), and live web navigation (WebVoyager). The results demonstrate that Aime consistently outperforms even highly specialized state-of-the-art agents in their respective domains. Its superior adaptability and task success rate establish Aime as a more resilient and effective foundation for multi-agent collaboration.","","ArXiv","","10.48550/arxiv.2507.11988","https://consensus.app/papers/aime-towards-fullyautonomous-multiagent-framework-shi-wang/d863ca66a8fe588c8f32e1a52ca35985/"
"Special Issue “Advances in Multi-Agent Systems”: Editorial","This Special Issue highlights diverse advancements in multi-agent systems, enabling their use in diverse applications and business domains, with AI techniques further enhancing their cognitive capabilities.","S. Mariani, Andrea Omicini",2023,2,"Multi-agent systems (MAS) are collections of autonomous computational entities (the agents) capable of pro-actively pursuing goals and re-actively adapting to environment change. Agents in MAS exploit their social abilities, interacting with peers, and their situated capabilities as well, by perceiving and acting on the world around them. From distributed computing to intelligent systems, the relevance of agents and MAS as software abstractions is steadily growing as they are extensively and increasingly used to model, simulate, and build heterogeneous systems across a huge variety of diverse application scenarios and business domains, ranging from industrial manufacturing to robotics, from social simulation to applications, and more. The recent, renewed popularity of AI techniques has further spread the adoption of MAS, focusing in particular on the cognitive capabilities of agents, so that intelligent systems can be modelled and built as MAS. Along those lines, this Special Issue gathers five contributions that well represent the many diverse advancements that are currently ongoing in the MAS field.","","Applied Sciences","2","10.3390/app13053027","https://consensus.app/papers/special-issue-advances-in-multiagent-systems-editorial-mariani-omicini/464e2c6c07fd56f7bdb4792418a66aab/"
"Advancing Multi-Agent Systems Through Model Context Protocol: Architecture, Implementation, and Applications","The Model Context Protocol (MCP) significantly improves multi-agent systems' performance in complex problem-solving and collaboration, addressing challenges in context management and coordination efficiency.","Naveen Krishnan",2025,38,"Multi-agent systems represent a significant advancement in artificial intelligence, enabling complex problem-solving through coordinated specialized agents. However, these systems face fundamental challenges in context management, coordination efficiency, and scalable operation. This paper introduces a comprehensive framework for advancing multi-agent systems through Model Context Protocol (MCP), addressing these challenges through standardized context sharing and coordination mechanisms. We extend previous work on AI agent architectures by developing a unified theoretical foundation, advanced context management techniques, and scalable coordination patterns. Through detailed implementation case studies across enterprise knowledge management, collaborative research, and distributed problem-solving domains, we demonstrate significant performance improvements compared to traditional approaches. Our evaluation methodology provides a systematic assessment framework with benchmark tasks and datasets specifically designed for multi-agent systems. We identify current limitations, emerging research opportunities, and potential transformative applications across industries. This work contributes to the evolution of more capable, collaborative, and context-aware artificial intelligence systems that can effectively address complex real-world challenges.","","ArXiv","","10.48550/arxiv.2504.21030","https://consensus.app/papers/advancing-multiagent-systems-through-model-context-krishnan/1f2fd8834df65cd08a5f5e6a84197306/"
"Multi-Agent System Engineering","Integrating behavioral requirements and scenarios into multi-agent system design improves compositional verification and benefits compositional verification in the development of a mediating information agent.","F. Garijo, M. Boman",1999,93,"In this paper it is shown how informal and formal specification of behavioural requirements and scenarios for agents and multi-agent systems can be integrated within multi-agent system design. In particular, it is addressed how a compositional perspective both on design descriptions and specification of behavioural requirements can be exploited. The approach has been applied in a case study: the development of a mediating information agent. It is shown that compositional verification benefits from the integration of requirements engineering within the design process.","","","","10.1007/3-540-48437-x","https://consensus.app/papers/multiagent-system-engineering-garijo-boman/84e277ec782e5860995188026f5cf4ce/"
"Multi-Agent LLM Collaboration for Adaptive Code Review, Debugging, and Security Analysis","FAISS-based memory significantly improves AI-assisted development by minimizing redundant feedback and adapting to user-specific coding styles.","Tanush Sharanarthi, Sreenidhi Polineni",2025,3,"Automated code review systems have improved software development, yet many lack contextual awareness, leading to redundant feedback and limited adaptability to user-specific coding styles. This paper presents a multi-agent AI-driven framework that leverages FAISS-based memory to improve review efficiency, personalization, and collaboration. The system integrates code review, bug detection, and security analysis agents, operating independently and interactively to analyze and refine code submissions. A feedback mechanism enables users to influence future AI suggestions, ensuring that recommendations evolve based on individual preferences and past interactions. Through structured experiments, we evaluated the impact of FAISS memory on the reduction of redundant feedback, evaluated the effectiveness of collaborative agent execution, and measured the system’s ability to adapt to coding patterns over time. The results indicate that the incorporation of FAISS significantly improves AI-assisted development by minimizing unnecessary repetitions while maintaining essential corrective feedback. This research demonstrates the potential of adaptive AI systems in software engineering, contributing to more intelligent, context-aware, and efficient code review methodologies.","","2025 International Conference on Mechatronics, Robotics, and Artificial Intelligence (MRAI)","","10.1109/mrai65197.2025.11135756","https://consensus.app/papers/multiagent-llm-collaboration-for-adaptive-code-review-sharanarthi-polineni/53c2264bf53b5eceb853d1b08448218f/"
"Multi-Agent Systems for Dataset Adaptation in Software Engineering: Capabilities, Limitations, and Future Directions","Current multi-agent systems can identify key files and generate partial adaptations, but rarely produce functionally correct implementations; prompt-level interventions can improve structural similarity to ground truth.","Jingyi Chen, Xiaoyang Guo, Songqiang Chen, Shing-Chi Cheung, Jiasi Shen",2025,0,"Automating the adaptation of software engineering (SE) research artifacts across datasets is essential for scalability and reproducibility, yet it remains largely unstudied. Recent advances in large language model (LLM)-based multi-agent systems, such as GitHub Copilot's agent mode, promise to automate complex development workflows through coordinated reasoning, code generation, and tool interaction. This paper presents the first empirical study on how state-of-the-art multi-agent systems perform in dataset adaptation tasks. We evaluate Copilot, backed by GPT-4.1 and Claude Sonnet 4, on adapting SE research artifacts from benchmark repositories including ROCODE and LogHub2.0. Through a five-stage evaluation pipeline (file comprehension, code editing, command generation, validation, and final execution), we measure success rates, analyze failure patterns, and assess prompt-based interventions designed to enhance agent performance. Results show that current systems can identify key files and generate partial adaptations but rarely produce functionally correct implementations. Prompt-level interventions, especially providing execution error messages and reference code, substantially improve structural similarity to ground truth (from 7.25% to 67.14%), highlighting the importance of contextual and feedback-driven guidance. Our findings reveal both the promise and limitations of today's multi-agent LLM systems for dataset adaptation, and suggest concrete directions for building more reliable, self-correcting agents in future SE research.","","ArXiv","","10.48550/arxiv.2511.21380","https://consensus.app/papers/multiagent-systems-for-dataset-adaptation-in-software-chen-guo/2cd15852a16755c4a38c939b4e269d18/"
